,,,"Mon, Jul 13",OBJETIVO,,,115 gr,100 gr,124 gr,35 gr,2000 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Aug 21",21:40 ,Lomo Horneado (1 feta),1,Proteína,46 gr,11 gr,0 gr,2 gr,0 gr,56 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0.72,,,1.61,
,"Fri, Aug 21",21:40 ,Magnesio,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,173 gr,73 gr,141 gr,29 gr,"2,251 kcal",1394 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,3 gr,23 gr,52 gr,2 gr,3 gr,117 gr,0 gr,78 gr,122 gr,3:23,,,,,,,
,"Sat, Aug 22",9:20 ,Huevo,1,Proteína,54 gr,6 gr,0 gr,6 gr,0 gr,84 kcal,11:40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.02,2.42,,,6.37,
,"Sat, Aug 22",9:20 ,Queso rallado reggianito La Serenisima,1,Lácteo,15 gr,6 gr,0 gr,4 gr,0 gr,59 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.12,1.13,0.16,0.27,2.18,
,"Sat, Aug 22",9:20 ,Lomo Horneado (1 feta),4.7,Proteína,47 gr,11 gr,0 gr,2 gr,0 gr,58 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0.74,,,1.65,
,"Sat, Aug 22",9:20 ,Queso cremoso Punta de Agua,2,Lácteo,51 gr,9 gr,1 gr,13 gr,0 gr,155 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.38,3.70,0.51,0.89,7.14,
,"Sat, Aug 22",9:20 ,Queso rallado parmesano La Serenisima,1,Lácteo,15 gr,5 gr,0 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.12,1.17,0.16,0.28,2.27,
,"Sat, Aug 22",9:20 ,Jamón Crudo De Trevélez (1 feta),2,Proteína,34 gr,11 gr,0 gr,4 gr,0 gr,76 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1.32,,,0.81,
,"Sat, Aug 22",9:20 ,Manteca Ghee,0.25,Grasa,7 gr,0 gr,0 gr,7 gr,0 gr,63 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.14,1.75,0.28,0.56,6.16,
,"Sat, Aug 22",9:20 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Sat, Aug 22",9:20 ,Queso Regianitto Punta de Agua,1,Lácteo,25 gr,8 gr,0 gr,8 gr,0 gr,99 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.23,2.18,0.30,0.53,4.20,
,"Sat, Aug 22",9:20 ,Queso Pategrás La Paulina,1,Lácteo,30 gr,8 gr,0 gr,9 gr,0 gr,110 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.26,2.49,0.34,0.60,4.82,
,"Sat, Aug 22",17:40 ,Tomate,0.5,Verdura,91 gr,1 gr,4 gr,0 gr,1 gr,16 kcal,08:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",17:40 ,Zucchini,0.5,Verdura,138 gr,2 gr,5 gr,0 gr,2 gr,23 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",17:40 ,Cebolla,0.4,Verdura,71 gr,1 gr,7 gr,0 gr,1 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",17:40 ,Champiñones,0.5,Proteína,104 gr,4 gr,3 gr,1 gr,1 gr,31 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",17:40 ,Manteca Ghee,0.5,Grasa,15 gr,0 gr,0 gr,15 gr,0 gr,135 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.30,3.75,0.60,1.20,13.20,
,"Sat, Aug 22",17:40 ,Pollo (1 pechuga),0.4,Proteína,148 gr,42 gr,0 gr,5 gr,0 gr,223 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.95,1.89,,,4.74,
,"Sat, Aug 22",17:40 ,Palta,0.2,Fruta,27 gr,1 gr,2 gr,4 gr,2 gr,43 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.55,2.81,,,3.96,
,"Sat, Aug 22",17:40 ,Queso barra punta de agua,2,Lácteo,36 gr,9 gr,0 gr,10 gr,0 gr,125 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.30,2.89,0.40,0.70,5.58,
,"Sat, Aug 22",17:40 ,Jamón Cocido Extra (1 feta),2,Proteína,33 gr,6 gr,0 gr,1 gr,0 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.53,,,0.33,
,"Sat, Aug 22",17:40 ,Queso rallado reggianito La Serenisima,1,Lácteo,10 gr,4 gr,0 gr,3 gr,0 gr,39 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.75,0.10,0.18,1.46,
,"Sat, Aug 22",17:40 ,"Aceite de oliva (EV, PPF)",4.5,Grano,9 gr,0 gr,0 gr,9 gr,0 gr,81 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.90,6.75,,,9.00,
,"Sat, Aug 22",17:40 ,Nuez (1),4,Fruto Seco,16 gr,2 gr,2 gr,10 gr,1 gr,108 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,5.21,2.25,,,10.21,
,"Sat, Aug 22",17:40 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Sat, Aug 22",17:40 ,Magnesio,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",21:00 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,03:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",21:00 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Aug 22",21:00 ,Brownie keto Cholex v1,1.5,Elaborado,80 gr,17 gr,7 gr,29 gr,6 gr,361 kcal,,,,,,162 gr,39 gr,153 gr,15 gr,"2,180 kcal",1191 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,2 gr,15 gr,53 gr,3 gr,5 gr,122 gr,0 gr,69 gr,130 gr,2:15,,0.87,9.53,,,28.88,
,"Sun, Aug 23",11:40 ,Pan Integral D&D,2,Grano,55 gr,4 gr,26 gr,1 gr,3 gr,128 kcal,14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",11:40 ,Pollo (1 pechuga),0.3,Proteína,100 gr,29 gr,0 gr,3 gr,0 gr,151 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.64,1.28,,,3.20,
,"Sun, Aug 23",11:40 ,"Aceite de oliva (EV, PPF)",5,Grano,10 gr,0 gr,0 gr,10 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,1.00,7.50,,,10.00,
,"Sun, Aug 23",11:40 ,Queso Unt. Finlandia Light,7,Lácteo,70 gr,6 gr,4 gr,10 gr,0 gr,133 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.31,2.98,0.41,0.72,5.75,
,"Sun, Aug 23",11:40 ,Huevo,1,Proteína,54 gr,6 gr,0 gr,6 gr,0 gr,84 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.02,2.42,,,6.37,
,"Sun, Aug 23",11:40 ,Queso rallado parmesano La Serenisima,1,Lácteo,15 gr,5 gr,0 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.12,1.17,0.16,0.28,2.27,
,"Sun, Aug 23",11:40 ,Pasta de maní King natural,1,Fruto Seco,20 gr,5 gr,2 gr,10 gr,2 gr,117 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,4.80,,,9.80,
,"Sun, Aug 23",11:40 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",11:40 ,Vitamina D,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",13:50 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",13:50 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",13:50 ,"Dulce de leche Savona Fit, stevia",1,Carb,11 gr,1 gr,2 gr,1 gr,2 gr,22 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.21,0.03,0.05,0.40,
,"Sun, Aug 23",13:50 ,"Chocolate Colonial, dietético 55%",2,Carb,14 gr,1 gr,9 gr,4 gr,1 gr,61 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.39,,,4.20,
,"Sun, Aug 23",13:50 ,"Brownie keto Cholex v1, ghee",1,Elaborado,40 gr,7 gr,3 gr,17 gr,3 gr,197 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.34,4.30,0.69,1.38,15.14,
,"Sun, Aug 23",16:55 ,Pan Integral D&D,3,Grano,89 gr,7 gr,43 gr,2 gr,4 gr,206 kcal,03:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",16:55 ,Queso Unt. Finlandia Light,3,Lácteo,30 gr,3 gr,2 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,1.28,0.18,0.31,2.46,
,"Sun, Aug 23",16:55 ,Lomo Horneado (1 feta),2,Proteína,32 gr,7 gr,0 gr,1 gr,0 gr,39 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.11,0.50,,,1.12,
,"Sun, Aug 23",16:55 ,Queso barra punta de agua,3,Lácteo,47 gr,11 gr,0 gr,13 gr,0 gr,163 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.39,3.77,0.52,0.91,7.28,
,"Sun, Aug 23",16:55 ,Jamón Cocido Extra (1 feta),2,Proteína,33 gr,6 gr,0 gr,1 gr,0 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.53,,,0.33,
,"Sun, Aug 23",16:55 ,Salamín,1,Proteína,30 gr,7 gr,0 gr,8 gr,0 gr,75 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.78,3.51,,,7.80,
,"Sun, Aug 23",16:55 ,Queso Regianitto Punta de Agua,1,Lácteo,30 gr,9 gr,0 gr,9 gr,0 gr,119 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.27,2.61,0.36,0.63,5.04,
,"Sun, Aug 23",16:55 ,Queso Pategrás La Paulina,1,Lácteo,22 gr,6 gr,0 gr,6 gr,0 gr,81 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.19,1.83,0.25,0.44,3.53,
,"Sun, Aug 23",16:55 ,Castaña de Cajú,1,Fruto Seco,8 gr,1 gr,2 gr,4 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,2.11,,,3.52,
,"Sun, Aug 23",16:55 ,Almendra (1),1,Fruto Seco,7 gr,1 gr,0 gr,4 gr,1 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.73,,,3.75,
,"Sun, Aug 23",16:55 ,Magnesio,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",17:30 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",17:30 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",17:30 ,"Brownie keto Cholex v1, ghee",1,Elaborado,50 gr,9 gr,4 gr,22 gr,4 gr,247 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.43,5.38,0.86,1.72,18.92,
,"Sun, Aug 23",17:30 ,"Dulce de leche Savona Fit, stevia",1,Carb,10 gr,1 gr,2 gr,1 gr,2 gr,20 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.19,0.03,0.05,0.36,
,"Sun, Aug 23",17:30 ,"Chocolate Colonial, dietético 55%",1,Carb,7 gr,0 gr,4 gr,2 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.69,,,2.10,
,"Sun, Aug 23",21:50 ,"Leche, Protein",2.2,Lácteo,220 gr,10 gr,10 gr,0 gr,0 gr,81 kcal,04:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",21:50 ,"Dicomere, cacao amargo puro en polvo",1,Procesado,10 gr,2 gr,2 gr,1 gr,4 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Aug 23",21:50 ,"Brownie keto Cholex v1, ghee",1,Elaborado,50 gr,9 gr,4 gr,22 gr,4 gr,247 kcal,,,,,,165 gr,128 gr,167 gr,29 gr,"2,631 kcal",1264 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,11 gr,57 gr,4 gr,8 gr,132 gr,0 gr,69 gr,145 gr,1:11,0.22,0.43,5.38,0.86,1.72,18.92,
,"Mon, Aug 24",14:50 ,Manteca Ghee,1,Grasa,30 gr,0 gr,0 gr,30 gr,0 gr,270 kcal,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,0.60,7.50,1.20,2.40,26.40,
,"Mon, Aug 24",14:50 ,Cebolla,0.5,Verdura,118 gr,1 gr,12 gr,0 gr,2 gr,50 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,Champiñones,0.5,Proteína,108 gr,4 gr,3 gr,1 gr,1 gr,32 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,Lentejas,0.4,Carb,70 gr,5 gr,11 gr,1 gr,3 gr,65 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,Semillas de chía,1,Grano,10 gr,2 gr,4 gr,3 gr,3 gr,49 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,0.61,0.31,,,3.07,
,"Mon, Aug 24",14:50 ,Queso Unt. Finlandia Light,5,Lácteo,50 gr,5 gr,3 gr,7 gr,0 gr,95 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.22,2.13,0.29,0.51,4.11,
,"Mon, Aug 24",14:50 ,Chucrut Los Montes,1,Verdura,21 gr,0 gr,1 gr,0 gr,1 gr,4 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,Tomate,1,Verdura,144 gr,1 gr,6 gr,0 gr,2 gr,26 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,"Aceite de oliva (EV, PPF)",3,Grano,6 gr,0 gr,0 gr,6 gr,0 gr,54 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.60,4.50,,,6.00,
,"Mon, Aug 24",14:50 ,Queso rallado parmesano La Serenisima,0.8,Lácteo,9 gr,3 gr,0 gr,2 gr,0 gr,34 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.70,0.10,0.17,1.36,
,"Mon, Aug 24",14:50 ,Nuez (1),4,Fruto Seco,16 gr,2 gr,2 gr,10 gr,1 gr,108 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,5.21,2.25,,,10.21,
,"Mon, Aug 24",14:50 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Mon, Aug 24",14:50 ,Castaña de Cajú,1,Fruto Seco,8 gr,1 gr,2 gr,4 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,2.11,,,3.52,
,"Mon, Aug 24",14:50 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Mon, Aug 24",14:50 ,Queso Regianitto Punta de Agua,1,Lácteo,30 gr,9 gr,0 gr,9 gr,0 gr,119 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.27,2.61,0.36,0.63,5.04,
,"Mon, Aug 24",14:50 ,Queso Pategrás La Paulina,1,Lácteo,30 gr,8 gr,0 gr,9 gr,0 gr,110 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.26,2.49,0.34,0.60,4.82,
,"Mon, Aug 24",14:50 ,Lomo Horneado (1 feta),3,Proteína,30 gr,7 gr,0 gr,1 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.11,0.47,,,1.05,
,"Mon, Aug 24",14:50 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",14:50 ,Vitamina D,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",16:15 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",16:15 ,"Chocolate Colonial, dietético 55%",1,Carb,7 gr,0 gr,4 gr,2 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.69,,,2.10,
,"Mon, Aug 24",16:15 ,Vauquita bañada en chocolate,1,Carb,28 gr,2 gr,18 gr,3 gr,0 gr,102 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Aug 24",20:15 ,"G4U, pan árabe proteico",1,Procesado,70 gr,14 gr,4 gr,4 gr,19 gr,107 kcal,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.65,0.67,,,1.09,
,"Mon, Aug 24",20:15 ,Queso Unt. Finlandia Light,3,Lácteo,30 gr,3 gr,2 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,1.28,0.18,0.31,2.46,
,"Mon, Aug 24",20:15 ,Palta,0.5,Fruta,67 gr,1 gr,6 gr,10 gr,4 gr,107 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,1.38,6.97,,,9.82,
,"Mon, Aug 24",20:15 ,Queso barra punta de agua,4,Lácteo,73 gr,18 gr,0 gr,20 gr,0 gr,253 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.61,5.86,0.81,1.41,11.31,
,"Mon, Aug 24",20:15 ,Lomo Horneado (1 feta),3,Proteína,46 gr,11 gr,0 gr,2 gr,0 gr,56 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0.72,,,1.61,
,"Mon, Aug 24",20:15 ,Jamón Cocido Extra (1 feta),2,Proteína,30 gr,6 gr,0 gr,1 gr,0 gr,36 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.49,,,0.30,
,"Mon, Aug 24",20:15 ,Huevo,1,Proteína,54 gr,6 gr,0 gr,6 gr,0 gr,84 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.02,2.42,,,6.37,
,"Mon, Aug 24",20:15 ,Queso rallado reggianito La Serenisima,1,Lácteo,15 gr,6 gr,0 gr,4 gr,0 gr,59 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.12,1.13,0.16,0.27,2.18,
,"Mon, Aug 24",20:15 ,Nuez (1),4,Fruto Seco,16 gr,2 gr,2 gr,10 gr,1 gr,108 kcal,,,,,,152 gr,81 gr,157 gr,39 gr,"2,326 kcal",1251 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,5 gr,22 gr,51 gr,3 gr,6 gr,122 gr,0 gr,78 gr,131 gr,5:22,1.02,5.21,2.25,,,10.21,
,"Tue, Aug 25",15:05 ,Zanahoria,0.5,Verdura,73 gr,1 gr,7 gr,0 gr,2 gr,30 kcal,18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Zucchini,0.4,Verdura,78 gr,1 gr,3 gr,0 gr,1 gr,13 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Ají,0.2,Verdura,64 gr,1 gr,3 gr,0 gr,0 gr,12 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Champiñones,1,Proteína,100 gr,4 gr,3 gr,1 gr,1 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Palta,0.5,Fruta,68 gr,1 gr,6 gr,10 gr,5 gr,109 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,1.40,7.08,,,9.97,
,"Tue, Aug 25",15:05 ,Semillas de chía,1.5,Grano,15 gr,2 gr,6 gr,5 gr,5 gr,74 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,0.92,0.46,,,4.61,
,"Tue, Aug 25",15:05 ,Queso Unt. Finlandia Light,4,Lácteo,40 gr,4 gr,2 gr,6 gr,0 gr,76 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.18,1.70,0.23,0.41,3.29,
,"Tue, Aug 25",15:05 ,Manteca Ghee,1,Grasa,20 gr,0 gr,0 gr,20 gr,0 gr,180 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.40,5.00,0.80,1.60,17.60,
,"Tue, Aug 25",15:05 ,Lentejas,0.4,Carb,60 gr,4 gr,10 gr,1 gr,3 gr,56 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Pollo (1 pechuga),0.4,Proteína,164 gr,47 gr,0 gr,5 gr,0 gr,248 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1.05,2.10,,,5.25,
,"Tue, Aug 25",15:05 ,"Aceite de oliva (EV, PPF)",3.5,Grano,7 gr,0 gr,0 gr,7 gr,0 gr,63 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.70,5.25,,,7.00,
,"Tue, Aug 25",15:05 ,Queso rallado reggianito La Serenisima,0.7,Lácteo,7 gr,3 gr,0 gr,2 gr,0 gr,27 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.53,0.07,0.13,1.02,
,"Tue, Aug 25",15:05 ,Nuez (1),4,Fruto Seco,16 gr,2 gr,2 gr,10 gr,1 gr,108 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,5.21,2.25,,,10.21,
,"Tue, Aug 25",15:05 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Tue, Aug 25",15:05 ,Castaña de Cajú,1,Fruto Seco,8 gr,1 gr,2 gr,4 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,2.11,,,3.52,
,"Tue, Aug 25",15:05 ,"G4U, marineras proteicas",1,Procesado,25 gr,3 gr,1 gr,1 gr,9 gr,22 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.14,,,0.70,
,"Tue, Aug 25",15:05 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",15:05 ,Vitamina D,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",16:42 ,"Medallón de chocolate con menta, Benot",1,Procesado,14 gr,0 gr,10 gr,1 gr,1 gr,35 kcal,01:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,,,1.26,
,"Tue, Aug 25",17:25 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",17:25 ,"Leche, Protein",1,Lácteo,100 gr,5 gr,5 gr,0 gr,0 gr,37 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Aug 25",17:25 ,"Brownie keto Cholex v1, ghee",1,Elaborado,50 gr,9 gr,4 gr,22 gr,4 gr,247 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.43,5.38,0.86,1.72,18.92,
,"Tue, Aug 25",17:25 ,"Chocolate Colonial, dietético 55%",1,Carb,7 gr,0 gr,4 gr,2 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.69,,,2.10,
,"Tue, Aug 25",17:25 ,"Dulce de leche Savona Fit, stevia",1.1,Carb,11 gr,1 gr,2 gr,1 gr,2 gr,22 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.21,0.03,0.05,0.40,
,"Tue, Aug 25",17:25 ,Nuez (1),4,Fruto Seco,16 gr,2 gr,2 gr,10 gr,1 gr,108 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,5.21,2.25,,,10.21,
,"Tue, Aug 25",21:30 ,"G4U, pan árabe proteico",1,Procesado,61 gr,12 gr,3 gr,3 gr,16 gr,93 kcal,04:05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.43,0.58,,,0.95,
,"Tue, Aug 25",21:30 ,Queso Unt. Finlandia Light,3,Lácteo,30 gr,3 gr,2 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,1.28,0.18,0.31,2.46,
